,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
0,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
4290,2008,14422,74136,20970,126.01,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=148&comboTribunal=pr
4291,2008,14422,74136,22107,127.11,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=159&comboTribunal=pr
4292,2008,14422,74136,26925,129.11,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=207&comboTribunal=pr
4293,2008,14422,74101,1001,181/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=612/2008&comboTribunal=pr
4294,2008,14422,74276,25478,138/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=304/2008&comboTribunal=pr
4295,2008,14422,74357,21122,260/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=528/2008&comboTribunal=pr
4296,2008,14422,74357,4894,189/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=459/2008&comboTribunal=pr
4297,2008,14422,74357,5537,205/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=475/2008&comboTribunal=pr
4298,2008,14422,74357,13492,229/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=497/2008&comboTribunal=pr
4299,2008,14422,74390,16742,420/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=611/2008&comboTribunal=pr
4300,2008,14422,74390,16744,421/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=612/2008&comboTribunal=pr
4301,2008,14422,74438,30705,129/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=304/2008&comboTribunal=pr
4302,2008,14422,74438,30706,130/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=305/2008&comboTribunal=pr
4303,2008,14422,74551,29209,265/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=542/2008&comboTribunal=pr
4304,2008,14422,79812,11705,179/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=434/2008&comboTribunal=pr
4305,2008,14422,79812,16622,218/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=487/2008&comboTribunal=pr
4306,2008,14422,74160,8557,098/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=763/2008&comboTribunal=pr
4307,2008,14422,79839,19459,319/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=782/2008&comboTribunal=pr
4308,2008,14422,79839,19461,320/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=783/2008&comboTribunal=pr
4309,2008,14422,74187,36766,178/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=357/2008&comboTribunal=pr
4310,2008,14422,74187,36767,179/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=358/2008&comboTribunal=pr
4311,2008,14422,74713,29874,187/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=358/08&comboTribunal=pr
4312,2008,14422,74756,21792,206/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=554/2008&comboTribunal=pr
4313,2008,14422,75183,6835,310/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=770/2008&comboTribunal=pr
